fetch_ts_ms,measured_at_ms,heart_rate
1776295505000,1776295505000,95
1776295506000,1776295506000,95
1776295508000,1776295508000,95
1776295509000,1776295509000,95
1776295511000,1776295511000,95
1776295516000,1776295516000,95
1776295517000,1776295517000,93
1776295519000,1776295519000,93
1776295521000,1776295521000,93
1776295522000,1776295522000,90
1776295523000,1776295523000,90
1776295525000,1776295525000,90
1776295527000,1776295527000,90
1776295528000,1776295528000,93
1776295530000,1776295530000,93
1776295531000,1776295531000,93
1776295533000,1776295533000,90
1776295534000,1776295534000,90
1776295536000,1776295536000,90
1776295537000,1776295537000,93
1776295539000,1776295539000,93
1776295541000,1776295541000,93
1776295542000,1776295542000,93
1776295544000,1776295544000,93
1776295545000,1776295545000,93
1776295547000,1776295547000,93
1776295548000,1776295548000,94
1776295550000,1776295550000,94
1776295552000,1776295552000,96
1776295553000,1776295553000,96
1776295554000,1776295554000,96
1776295556000,1776295556000,96
1776295558000,1776295558000,96
1776295559000,1776295559000,96
1776295560000,1776295560000,96
1776295562000,1776295562000,96
1776295563000,1776295563000,96
1776295565000,1776295565000,96
1776295566000,1776295566000,96
1776295568000,1776295568000,94
1776295569000,1776295569000,94
1776295571000,1776295571000,94
1776295573000,1776295573000,96
1776295574000,1776295574000,96
1776295576000,1776295576000,96
1776295577000,1776295577000,93
1776295579000,1776295579000,93
1776295580000,1776295580000,93
1776295582000,1776295582000,93
1776295583000,1776295583000,87
1776295585000,1776295585000,87
1776295586000,1776295586000,87
1776295588000,1776295588000,91
1776295589000,1776295589000,91
1776295591000,1776295591000,91
1776295592000,1776295592000,91
1776295594000,1776295594000,91
1776295595000,1776295595000,91
1776295597000,1776295597000,91
1776295602000,1776295602000,94
1776295604000,1776295604000,94
1776295605000,1776295605000,94
1776295607000,1776295607000,92
1776295608000,1776295608000,92
1776295610000,1776295610000,92
1776295612000,1776295612000,92
1776295613000,1776295613000,87
1776295615000,1776295615000,87
1776295616000,1776295616000,87
1776295618000,1776295618000,87
1776295619000,1776295619000,87
1776295621000,1776295621000,87
1776295622000,1776295622000,88
1776295627000,1776295627000,91
1776295629000,1776295629000,91
1776295630000,1776295630000,91
1776295632000,1776295632000,96
1776295633000,1776295633000,96
1776295635000,1776295635000,96
1776295636000,1776295636000,96
1776295638000,1776295638000,94
1776295639000,1776295639000,94
1776295641000,1776295641000,94
1776295642000,1776295642000,91
1776295644000,1776295644000,91
1776295645000,1776295645000,91
1776295647000,1776295647000,91
1776295648000,1776295648000,87
1776295650000,1776295650000,87
1776295652000,1776295652000,87
1776295653000,1776295653000,88
1776295655000,1776295655000,88
1776295656000,1776295656000,88
1776295658000,1776295658000,91
1776295660000,1776295660000,91
1776295661000,1776295661000,91
1776295662000,1776295662000,95
1776295664000,1776295664000,95
1776295665000,1776295665000,95
1776295667000,1776295667000,98
1776295668000,1776295668000,98
1776295670000,1776295670000,98
1776295672000,1776295672000,98
1776295673000,1776295673000,96
1776295675000,1776295675000,96
1776295676000,1776295676000,96
1776295678000,1776295678000,95
1776295679000,1776295679000,95
1776295681000,1776295681000,95
1776295683000,1776295683000,91
1776295684000,1776295684000,91
1776295686000,1776295686000,91
1776295687000,1776295687000,91
1776295689000,1776295689000,91
1776295691000,1776295691000,91
1776295692000,1776295692000,87
1776295693000,1776295693000,87
1776295695000,1776295695000,87
1776295696000,1776295696000,87
1776295698000,1776295698000,85
1776295699000,1776295699000,85
1776295701000,1776295701000,85
1776295702000,1776295702000,82
1776295704000,1776295704000,82
1776295706000,1776295706000,82
1776295707000,1776295707000,82
1776295709000,1776295709000,82
1776295710000,1776295710000,82
1776295712000,1776295712000,87
1776295713000,1776295713000,87
1776295715000,1776295715000,87
1776295716000,1776295716000,87
1776295718000,1776295718000,81
1776295719000,1776295719000,81
1776295721000,1776295721000,81
1776295723000,1776295723000,82
1776295724000,1776295724000,82
1776295725000,1776295725000,82
1776295727000,1776295727000,88
1776295732000,1776295732000,93
1776295733000,1776295733000,93
1776295735000,1776295735000,93
1776295737000,1776295737000,93
1776295738000,1776295738000,101
1776295740000,1776295740000,101
1776295741000,1776295741000,101
1776295743000,1776295743000,100
1776295744000,1776295744000,100
1776295746000,1776295746000,100
1776295748000,1776295748000,94
1776295749000,1776295749000,94
1776295751000,1776295751000,94
1776295752000,1776295752000,94
1776295754000,1776295754000,94
1776295755000,1776295755000,94
1776295757000,1776295757000,92
1776295758000,1776295758000,92
1776295760000,1776295760000,92
1776295761000,1776295761000,92
1776295763000,1776295763000,92
1776295765000,1776295765000,92
1776295766000,1776295766000,92
1776295767000,1776295767000,90
1776295769000,1776295769000,90
1776295771000,1776295771000,90
1776295772000,1776295772000,91
1776295774000,1776295774000,91
1776295776000,1776295776000,91
1776295777000,1776295777000,84
1776295778000,1776295778000,84
1776295780000,1776295780000,84
1776295781000,1776295781000,84
1776295783000,1776295783000,77
1776295784000,1776295784000,77
1776295786000,1776295786000,77
1776295787000,1776295787000,77
1776295789000,1776295789000,77
1776295790000,1776295790000,77
1776295792000,1776295792000,77
1776295793000,1776295793000,77
1776295795000,1776295795000,77
1776295797000,1776295797000,77
1776295798000,1776295798000,74
1776295800000,1776295800000,74
1776295801000,1776295801000,74
1776295803000,1776295803000,80
1776295804000,1776295804000,80
1776295806000,1776295806000,80
1776295807000,1776295807000,78
1776295809000,1776295809000,78
1776295814000,1776295814000,80
1776295816000,1776295816000,80
1776295817000,1776295817000,85
1776295819000,1776295819000,85
1776295820000,1776295820000,85
1776295822000,1776295822000,91
1776295823000,1776295823000,91
1776295825000,1776295825000,91
1776295827000,1776295827000,91
1776295828000,1776295828000,88
